Life Regen,ライフ再生
Minions deal {0}% increased Damage with Hits against Abyssal Monsters,ミニオンはアビスモンスターに対するヒットダメージが{0}%増加する
Minions deal {0}% reduced Damage with Hits against Abyssal Monsters,ミニオンはアビスモンスターに対するヒットダメージが{0}%減少する
Minions Recoup {0}% of Damage taken as Life,ミニオンは受けたダメージの{0}%をライフとして回収する
Demonic Minions have {0}% chance to gain a Fury Charge when they Hit an Enemy,デモニックミニオンは敵をヒットした時に{0}%の確率でフューリーチャージを獲得する
Demonic Minions gain a Fury Charge when they Hit an Enemy,悪魔のミニオンは敵にヒットしたときにフューリーチャージを得る
Demonic Minions have {0}% increased Attack Speed per Fury Charge,デモニックミニオンはフューリーチャージ1個ごとにアタックスピードが{0}%増加する
Demonic Minions deal {0}% more damage per Fury Charge,デモニックミニオンはフューリーチャージ1個ごとにダメージが{0}%上昇する
Demonic Minions gain a Fury Charge when another Minion is Killed near them,デモニックミニオンは他のミニオンがその近くで倒された時にフューリーチャージを1個獲得する
Demonic Minions lose {0}% of maximum Life per Second per Fury Charge,デモニックミニオンはフューリーチャージ1個ごとに毎秒ライフの{0}%を失う
Demonic Minions have {0}  to maximum Fury Charges,悪魔のミニオンは最大フューリーチャージが {0} になる
Maximum Life taken as Fire damage per second@{0}%,毎秒火ダメージとして最大ライフの何%を受けるか@{0}%
Minion Hits can't be Evaded,ミニオンのヒットは回避できない
Minions Regenerate {0}% of maximum Life per Second if they have Blocked recently,直近ミニオンがブロックしていればミニオンは毎秒ライフの{0}%を自動回復する
Minions gain {0}% of their maximum Life as Extra maximum Energy Shield,ミニオンはその最大ライフの{0}%を追加の最大エナジーシールドとして獲得する
Minion Critical Hits do not deal extra Damage,ミニオンのクリティカルヒットは追加ダメージを与えない
Minions gain {0}% of their Physical Damage as Extra Fire Damage,ミニオンはその物理ダメージの{0}%を追加火ダメージとして獲得する
Minions gain {0}% of their Physical Damage as Extra Lightning Damage,ミニオンはその物理ダメージの{0}%を追加雷ダメージとして獲得する
Minions take {0}% of Physical Damage as Lightning Damage,ミニオンは物理ダメージの{0}%を雷ダメージとして受ける
Minions Recover {0}% of maximum Life on Minion Death,ミニオン死亡時に他のミニオンはライフの{0}%を回復する
Minions have {0}% increased Reservation,ミニオンのリザーブが{0}%増加する
Minions have {0}% reduced Reservation,ミニオンのリザーブが{0}%減少する
Minions' Resistances are equal to yours,ミニオンの耐性はプレイヤーのものと同じ値になる
Minions Revive {0}% faster if all your Minions are Companions,すべてのミニオンが仲間の場合、ミニオンは {0}% 早く復活する
Minions Revive {0}% slower if all your Minions are Companions,すべてのミニオンが仲間の場合、ミニオンは {0}% 遅く復活する
Minions Revive {0}% faster,ミニオンは{0}%速く復活する
Minions Revive {0}% slower,ミニオンは {0}% 遅く復活する
Minions from this skill convert {0}% of Physical Damage to Fire Damage,このスキルによるミニオンは物理ダメージの{0}%を火ダメージに変換する
Undead Minions count as Demons,アンデッドミニオンはデーモンとしてみなされる
Your Dexterity is added to your Minions,プレイヤーの器用さがミニオンに追加される
Minions can hear the whispers for {0} seconds after they deal a Critical Hit,ミニオンはクリティカルヒットを行った後 {0} 秒間、ささやきを聞くことができる
Minions have {0}% to Critical Damage Bonus per Withered Debuff on Enemy,ミニオンは敵にかけた枯れたデバフごとにクリティカルダメージボーナスが {0}% ある
Minions Recover {0}% of maximum Life on Killing a Poisoned Enemy,ミニオンは毒状態の敵を倒した時にライフの{0}%を回復する
Minions Recover {0}% of maximum Life when you Focus,フォーカス時にミニオンはそのライフの{0}%を回復する
Minions take Chaos Damage equal to {0}% of their maximum Life over one second when Created,ミニオンは生成された時にそのライフの{0}%と同量の混沌ダメージを1秒かけて受ける
Recover {0}% of Missing Life before being Hit by an Enemy,敵からのヒットを受ける前に喪失ライフの{0}%を回復する
Modifiers to Fire Resistance also grant Cold and Lightning Resistance at {0}% of their value,火耐性への修正は、その値の {0}% で冷気と雷耐性も付与する
Modifiers to Maximum Fire Resistance also grant Maximum Cold and Lightning Resistance,最大火耐性への修正は、最大冷気と雷耐性も付与する
{0}% increased Movement Speed while an enemy with an Open Weakness is in your Presence,オープンウィークネスを持つ敵があなたの近くにいる間、移動速度が {0}% 増加
{0}% reduced Movement Speed while an enemy with an Open Weakness is in your Presence,オープンウィークネスを持つ敵があなたの近くにいる間、移動速度が {0}% 減少
{0}% increased Movement Speed if you've Pinned an Enemy Recently,直近敵を足止めしていれば移動スピードが{0}%増加する
{0}% reduced Movement Speed if you've Pinned an Enemy Recently,直近敵を足止めしていれば移動スピードが{0}%減少する
{0}% increased Movement Speed while affected by an Ailment,状態異常の影響を受けている時に移動スピードが{0}%増加する
{0}% reduced Movement Speed while affected by an Ailment,状態異常の影響を受けている時に移動スピードが{0}%減少する
{1}% increased Movement Speed per {0} Evasion Rating,回避値 {0} ごとに {1}% 増加した移動速度
Other Modifiers to Movement Speed do not apply,他の移動速度への修正は適用されない
{0}% increased Movement Speed Penalty from using Skills while moving,移動中にスキルを使用することによる移動スピードペナルティが{0}%増加する
{0}% reduced Movement Speed Penalty from using Skills while moving,移動中にスキルを使用することによる移動スピードペナルティが{0}%減少する
{0}% increased Movement Speed if you've dealt a Critical Hit Recently,最近クリティカルヒットを行った場合、移動速度が {0}% 増加
{0}% reduced Movement Speed if you've dealt a Critical Hit Recently,最近クリティカルヒットを行った場合、移動速度が {0}% 減少
{0}% increased Movement Speed while your Off Hand is empty,オフハンドに何も装備していない時に移動スピードが{0}%増加する
{0}% increased Movement Speed while you have an active Charm,チャームがアクティブな間移動スピードが{0}%増加する
{0}% reduced Movement Speed while you have an active Charm,チャームがアクティブな間移動スピードが{0}%減少する
Nearby [Ally|Allies] have Onslaught,近くの味方は猛攻を持つ
"Nearby Enemies have Fire, Cold and Lightning Exposure while you have Phasing, lowering those Total Resistances by {0}%",近くの敵は、あなたがフェイジングを持っている間、火、冷気、雷の露出を受け、合計耐性が {0}% 減少する
Nearby enemies are Chilled and Shocked while you are near a Corpse,近くの敵は、あなたが死体の近くにいる間、冷却と感電の状態になる
"For each nearby corpse, you and nearby Allies Regenerate {0}% of maximum Energy Shield per second, up to {1}% per second",近くの死体ごとに、あなたと近くの味方は最大エナジーシールドの {0}% を毎秒再生し、最大 {1}% まで再生する
Elusive also grants {0}% to Critical Damage Bonus for Skills Supported by Nightblade,身躱しは夜刃によりサポートされたスキルのクリティカルダメージボーナス{0}%も付与する
No inherent Mana Regeneration,固有効果としてのマナ自動回復がなくなる
No Inherent loss of Rage,憤怒の固有効果による喪失がなくなる
Cannot Regenerate Mana if you haven't dealt a Critical Hit Recently,直近クリティカルヒットを与えていなければマナを自動回復できない
No Movement Speed Penalty while Shield is Raised,盾を掲げている間移動スピードペナルティを受けない
Non-Channelling Attacks have Added Lightning Damage equal to {0}% of maximum Mana,チャネリング以外のアタックは最大マナの{0}%と同量の追加雷ダメージを持つ
Non-Channelling Spells consume a Power Charge if able to deal {0}% more Damage,非チャネリング呪文は、{0}% 以上のダメージを与えることができる場合、パワーチャージを消費する
Non-Channelling Spells consume a Power Charge if able to deal {0}% less Damage,非チャネリング呪文は、{0}% 以下のダメージを与えることができる場合、パワーチャージを消費する
Non-Channelling Spells cost an additional {0}% of maximum Energy Shield,非チャネリング呪文は、最大エナジーシールドの {0}% を追加で消費する
Non-Channelling Spells deal {0}% more Damage,非チャネリング呪文は {0}% 以上のダメージを与える
Non-Channelling Spells deal {0}% less Damage,非チャネリング呪文は {0}% 以下のダメージを与える
Non-Channelling Spells have {0}% chance to cost Double Mana and Critically Hit,非チャネリング呪文は、ダブルマナを消費し、クリティカルヒットをする確率が {0}% ある
Non-Channelling Spells cost Double Mana and Critically Hit,非チャネリング呪文はダブルマナを消費し、クリティカルヒットをする
Non-Critical Hits deal no Damage,非クリティカルヒットはダメージを与えない
{0}% increased Magnitude of Non-Damaging Ailments you inflict,プレイヤーが付与した非ダメージ性状態異常の強度が{0}%増加する
{0}% reduced Magnitude of Non-Damaging Ailments you inflict,あなたが与える非ダメージ性の状態異常の大きさが {0}% 減少
{0}% increased effect of Non-Damaging Ailments on you during Effect of any Life Flask,いずれかのライフフラスコ効果中にプレイヤーに対する非ダメージ性状態異常の効果が{0}%増加する
{0}% reduced effect of Non-Damaging Ailments on you during Effect of any Life Flask,いずれかのライフフラスコ効果中にプレイヤーに対する非ダメージ性状態異常の効果が{0}%減少する
{0}% increased Magnitude of Non-Damaging Ailments you inflict with Critical Hits,クリティカルヒットで与える非ダメージ性の状態異常の大きさが {0}% 増加
{0}% reduced Magnitude of Non-Damaging Ailments you inflict with Critical Hits,クリティカルヒットで与える非ダメージ性の 状態異常 の大きさが {0}% 減少
Non-Damaging Ailments other than Freeze you inflict are reflected back to you,プレイヤーが付与した凍結以外の非ダメージ性状態異常はプレイヤーに反射される
Projectiles have {0}% increased Critical Hit Chance against Targets they do not Pierce,投射物は貫通しなかった敵に対してクリティカルヒット率が{0}%増加する
Projectiles have {0}% reduced Critical Hit Chance against Targets they do not Pierce,投射物は貫通しなかった敵に対してクリティカルヒット率が{0}%減少する
Skills gain {0}% of Damage as Chaos Damage per {1} Life Cost,スキルは {1} ライフコストごとに {0}% のダメージを混沌ダメージとして得る
Gain {0}% of damage as Fire damage per {1}% Chance to Block,ブロックする確率が {1}% の場合、ダメージの {0}% を火属性ダメージとして得る
Gain {0}% of Damage as Chaos Damage per Undead Minion,アンデッドミニオン1体ごとにダメージの{0}%を混沌ダメージとして獲得する
Attacks Gain {0}% of Damage as Extra Cold Damage,アタックはダメージの{0}%を追加冷気ダメージとして獲得する
Attacks Gain {0}% of Damage as Extra Fire Damage,アタックはダメージの{0}%を追加火ダメージとして獲得する
Attacks Gain {0}% of Damage as Extra Lightning Damage,アタックはダメージの{0}%を追加雷ダメージとして獲得する
Gain {0}% of Elemental Damage as Extra Cold Damage,元素ダメージの{0}%を追加冷気ダメージとして獲得する
Gain {0}% of Elemental Damage as Extra Fire Damage,元素ダメージの{0}%を追加火ダメージとして獲得する
Gain {0}% of Elemental Damage as Extra Lightning Damage,元素ダメージの{0}%を追加雷ダメージとして獲得する
{0}% of Elemental Damage Converted to Chaos Damage,元素ダメージの{0}%を混沌ダメージに変換する
{0}% of Elemental Damage Converted to Cold Damage,元素ダメージの{0}%を冷気ダメージに変換する
{0}% of Elemental Damage Converted to Fire Damage,元素ダメージの{0}%を火ダメージに変換する
{0}% of Elemental Damage Converted to Lightning Damage,元素ダメージの{0}%を雷ダメージに変換する
{0}% of Fire Damage Converted to Cold Damage,火ダメージの{0}%を冷気ダメージに変換する
{0}% of Fire damage Converted to Lightning damage,火ダメージの{0}%を雷ダメージに変換する
Attacks Gain {0}% of Physical Damage as extra Chaos Damage,アタックは物理ダメージの{0}%を追加混沌ダメージとして獲得する
Gain {0}% of Cold damage as Extra Fire damage per {1}% Chill Magnitude on enemy,敵に {1}% のチルの大きさがある場合、冷気ダメージの {0}% を追加の火属性ダメージとして得る
Gain {0}% of Lightning Damage as Chaos Damage per Power Charge,パワーチャージごとに雷ダメージの {0}% を混沌ダメージとして得る
Gain {0}% of Physical Damage as Extra Fire Damage if you've dealt a Critical Hit Recently,最近クリティカルヒットを与えた場合、物理ダメージの {0}% を追加の火属性ダメージとして得る
Gain {0}% of Physical Damage as Extra Fire Damage per Rage,憤怒1スタックごとに物理ダメージの{0}%を追加火ダメージとして獲得する
Projectiles that have Chained gain {0}% of Non-Chaos Damage as Extra Chaos Damage,連鎖した投射物は混沌ダメージ以外のダメージの{0}%を追加混沌ダメージとして獲得する
Projectiles gain {0}% of Non-Chaos Damage as Extra Chaos Damage per Chain,投射物は連鎖した回数ごとに混沌ダメージ以外のダメージの{0}%を追加混沌ダメージとして獲得する
{0}% more Knockback Distance for Blocked Hits,ブロックされたヒットのノックバック距離が {0}% 増加
{0}% less Knockback Distance for Blocked Hits,ブロックされたヒットのノックバック距離が {0}% 減少
Nova Spells deal {0}% less Damage with Hits against Players,ノヴァスキルはプレイヤーに対してヒットでのダメージが {0}% 減少する
{0} Charm Slot,チャームスロット {0}
{0} Charm Slots,チャームスロット数: {0}
Targets can be affected by {0} of your Poisons at the same time,一度に対象に付与できる毒のスタック数 {0}
Skills fire {0} additional Projectiles if the last Movement Skill you Used was Disengage,最後に使用した移動スキルがディスエンゲージであればスキルは追加で{0}個の投射物を放つ
Skills fire an additional Projectile if the last Movement Skill you Used was Disengage,最後に使用した移動スキルがディスエンゲージの場合、スキルは追加の投射物を発射する
Limit {0} Poison Cloud,制限: {0} 毒の雲
Limit {0} Poison Clouds,毒の雲の上限は{0}
Limit {0} Plant,制限: {0} 植物
Limit {0} Plants,植物の上限は{0}
{0}% to Off Hand Critical Hit Chance per {1} Maximum Energy Shield on Shield,シールド上の最大エナジーシールド {1} ごとにオフハンドクリティカルヒットチャンスが {0}% 増加
{0}% to Off Hand Critical Damage Bonus per {1} Maximum Energy Shield on Shield,シールド上の最大エナジーシールド {1} ごとにオフハンドクリティカルダメージボーナスが {0}% 増加
{0}% to Off Hand Critical Damage Bonus per,オフハンドクリティカルダメージボーナスが {0}% 増加
Offering Skills have {0}% increased Area of Effect,オファリングスキルは効果範囲が{0}%増加する
Offering Skills have {0}% reduced Area of Effect,オファリングスキルは効果範囲が{0}%減少する
Offerings have {0}% increased Maximum Life,オファリングは最大ライフが{0}%増加する
Offerings have {0}% reduced Maximum Life,オファリングの最大ライフが {0}% 減少
On-Kill Effects happen twice,オンキル効果は2回起きる
Attacks with One-Handed Weapons have {0}% increased Chance to inflict Ailments,片手武器での攻撃は 状態異常 を与える確率が {0}% 増加する
Attacks with One-Handed Weapons have {0}% reduced Chance to inflict Ailments,片手武器での攻撃は 状態異常 を与える確率が {0}% 減少する
Deal {0}% of Overkill damage to enemies within {1} metres of the enemy killed,倒した敵の {1} メートル以内の敵にオーバーキルダメージの {0}% を与える
Allies in your Presence have Block Chance equal to yours,存在下にいる味方はプレイヤーと同量のブロック率を持つ
Base Critical Hit Chance for Attacks with Weapons is {0}%,武器によるアタックの基礎クリティカルヒット率は{0}%になる
{0}% increased Parried Debuff Magnitude,パリィのデバフの強度が{0}%増加する
{0}% reduced Parried Debuff Magnitude,パリィのデバフ強度が{0}%減少する
Parried enemies take more Spell Damage instead of more Attack Damage,パリィを受けた敵は受けるアタックダメージ上昇の代わりに受けるスペルダメージが上昇する
{0}% increased Attack Speed if you've successfully Parried Recently,最近パリィに成功した場合、攻撃速度が {0}% 増加する
{0}% reduced Attack Speed if you've successfully Parried Recently,最近パリィに成功した場合、攻撃速度が {0}% 減少する
{0}% increased Projectile Parry Range,投射物パリィ範囲が{0}%増加する
{0}% reduced Projectile Parry Range,投射物パリィ範囲が{0}%減少する
Cannot be Critically Hit while Parrying,パリィ中はクリティカルヒットを受けない
{0}% increased Parry Damage,パリィダメージが{0}%増加する
{0}% reduced Parry Damage,パリィダメージが{0}%減少する
{0}% chance for Parry to also deal your Thorns Damage to Enemies it Hits,パリィがヒットした敵にあなたの thorn ダメージを与える {0}% の確率
{0}% increased Evasion Rating while Parrying,パリィ中の回避値が {0}% 増加する
{0}% reduced Evasion Rating while Parrying,パリィ中の回避値が {0}% 減少する
Your Heavy Stun buildup empties {0}% faster if you've successfully Parried Recently,最近パリィに成功した場合、ヘビースタンの蓄積が {0}% 速く空になる
Your Heavy Stun buildup empties {0}% slower if you've successfully Parried Recently,最近パリィに成功した場合、ヘビースタンの蓄積が {0}% 遅く空になる
Parry has {0}% increased Stun Buildup,パリィのスタン蓄積が{0}%増加する
Parry has {0}% reduced Stun Buildup,パリィのスタン蓄積が{0}%減少する
{0}% increased Movement Speed if you've successfully Parried Recently,最近パリィに成功した場合、移動速度が {0}% 増加する
{0}% reduced Movement Speed if you've successfully Parried Recently,最近パリィに成功した場合、移動速度が {0}% 減少する
{0}% increased Parried Debuff Duration,パリィのデバフの持続時間が{0}%増加する
{0}% reduced Parried Debuff Duration,パリィされたデバフの持続時間が {0}% 減少する
{0}% increased Stun Threshold while Parrying,パリィしている間スタン閾値が{0}%増加する
{0}% reduced Stun Threshold while Parrying,パリィ中のスタン閾値が {0}% 減少する
Successfully Parrying a Melee Hit grants {0}% increased Damage to your next Ranged Attack,近接ヒットをパリィすると、次の遠距離攻撃に {0}% のダメージ増加を付与する
Successfully Parrying a Melee Hit grants {0}% reduced Damage to your next Ranged Attack,近接ヒットをパリィすると、次の遠距離攻撃に {0}% のダメージ減少を付与する
Successfully Parrying a Projectile Hit grants {0}% increased Damage to your next Melee Attack,投射物ヒットをパリィすると、次の近接攻撃に {0}% のダメージ増加を付与する
Successfully Parrying a Projectile Hit grants {0}% reduced Damage to your next Melee Attack,投射物ヒットをパリィすると、次の近接攻撃に {0}% のダメージ減少を付与する
Exposure you inflict lowers the affected Total Resistance by at least {0}%,プレイヤーが付与した曝露は対応する合計耐性を最低{0}%下げる
{0}% more Damage taken from Hindered Enemies,妨害された敵から受けるダメージが {0}% 増加する
{0}% less Damage taken from Hindered Enemies,妨害された敵から受けるダメージが {0}% 減少する
{0}% more Damage against Heavy Stunned Enemies with Maces,メイスでヘビースタンした敵に対して {0}% のダメージ増加
{0}% less Damage against Heavy Stunned Enemies with Maces,メイスでヘビースタンした敵に対して {0}% のダメージ減少
The most Damaging Poison on Enemies you Kill is Spread to other Enemies within {0} metres,あなたが倒した敵に最もダメージを与えた毒が {0} メートル以内の他の敵に広がる
{0}% less Recovery from Flasks,フラスコからの回復が {0}% 減少する
Skills have a {0}% longer Perfect Timing window,スキルは完璧なタイミングの幅が{0}%長くなる
Skills have a {0}% shorter Perfect Timing window,スキルの完璧なタイミングウィンドウが {0}% 短くなる
Permanently Intimidate enemies on Block,ブロック時に永続的に敵を威嚇する
{0}% increased Physical Damage with Hits against Ignited Enemies,発火状態の敵に対するヒット物理ダメージが{0}%増加する
{0}% reduced Physical Damage with Hits against Ignited Enemies,発火状態の敵に対するヒット物理ダメージが{0}%減少する
{0}% of Physical Damage prevented Recouped as Life,防いだ物理ダメージの{0}%をライフとして回収する
{0}% increased Physical damage taken from Hits,ヒットから受ける物理ダメージが {0}% 増加する
{0}% reduced Physical damage taken from Hits,ヒットから受ける物理ダメージが {0}% 減少する
{0}% to Physical Damage over Time Multiplier if you've dealt a Critical Hit Recently,最近クリティカルヒットを与えた場合、継続ダメージの倍率が {0}% 増加する
{0}% of Physical Damage taken as Lightning Damage,物理ダメージの{0}%を雷ダメージとして受ける
{0}% of Physical Damage taken as Chaos Damage,受ける物理ダメージの {0}% を混沌ダメージとして受ける
{0} to Level of all Physical Skills,全ての物理スキルのレベル {0}
Projectiles have {0}% increased Critical Hit Chance against Targets they Pierce,投射物は貫通した敵に対するクリティカルヒット率が{0}%増加する
Projectiles have {0}% reduced Critical Hit Chance against Targets they Pierce,投射物は貫通した敵に対するクリティカルヒット率が{0}%減少する
Pin Enemies which are Primed for Pinning,足止め寸前状態の敵に足止めを付与する
Pinned enemies cannot perform actions,足止めを付与された敵は行動を行えなくなる
Plague Bearer Buff grants {0}% increased Effect of Poison while Infecting,プレイグベアラーのバフは感染中に毒の効果{0}%増加を付与する
Plague Bearer Buff grants {0}% reduced Effect of Poison while Infecting,プレイグベアラーのバフは感染中の毒の効果を {0}% 減少させる
Blocking Damage Poisons the Enemy as though dealing {0} Base Chaos Damage,敵のダメージをブロックすると{0}の基礎混沌ダメージを与えたと仮定してその敵に毒を付与する
{0}% increased chance to Poison,毒付与確率が{0}%増加する
{0}% reduced chance to Poison,毒付与確率が{0}%減少する
{0}% increased Effect of Poison you inflict on targets that are not Poisoned,毒状態でない対象に付与した毒の効果が{0}%増加する
{0}% reduced Effect of Poison you inflict on targets that are not Poisoned,毒状態でない対象に付与した毒の効果が{0}%減少する
Poisons you inflict during any Flask Effect have {0}% chance to have {1}% more Effect,フラスコ効果中に与える毒には {0}% の確率で {1}% の効果が追加される
{0}% increased Magnitude of Poison you inflict,プレイヤーが付与した毒の強度が{0}%増加する
{0}% reduced Magnitude of Poison you inflict,与える毒の大きさが {0}% 減少する
{0}% increased Magnitude of Poison you inflict per Frenzy Charge,フレンジーチャージごとに与える毒の大きさが {0}% 増加する
{0}% reduced Magnitude of Poison you inflict per Frenzy Charge,フレンジーチャージごとに与える毒の大きさが {0}% 減少する
{0}% increased Magnitude of Poison you inflict on Bleeding Enemies,出血している敵に与える毒の大きさが {0}% 増加する
{0}% reduced Magnitude of Poison you inflict on Bleeding Enemies,出血している敵に与える毒の大きさが {0}% 減少する
{0}% increased Magnitude of Poison you inflict while wielding a Claw or Dagger,爪またはダガーを装備している間に与える毒の大きさが {0}% 増加する
{0}% reduced Magnitude of Poison you inflict while wielding a Claw or Dagger,爪またはダガーを装備している間に与える毒の大きさが {0}% 減少する
{0}% increased Magnitude of Poison you inflict with Spell Skills,スキルスキルで与える毒の大きさが {0}% 増加する
{0}% reduced Magnitude of Poison you inflict with Spell Skills,スキルスキルで与える毒の大きさが {0}% 減少する
Critical Hits Poison the enemy,クリティカルヒットは敵に毒を付与する
Targets can be affected by any number of your Poisons at the same time,ターゲットは同時にあなたの毒の任意の数の影響を受けることができる
{0}% chance to gain a Power Charge on Non-Critical Hit with a Claw or Dagger,爪またはダガーでの非クリティカルヒットでパワーチャージを得る {0}% の確率
{0}% more Charm Charges gained,獲得チャームチャージが{0}%上昇する
{0}% less Charm Charges gained,{0}% 減少したチャームチャージ獲得
{0}% increased chance to inflict Ailments with Projectiles,投射物で状態異常を付与する確率が{0}%増加する
{0}% reduced chance to inflict Ailments with Projectiles,投射物で状態異常を付与する確率が{0}%減少する
[Infusion] grants {0}% of Projectile Damage Gained as Extra of the matching Elemental Damage Type when Consumed,[インフュージョン] 消費時に {0}% の投射物ダメージを対応する元素ダメージタイプの追加として獲得
{0}% increased Projectile Range,投射物の範囲が{0}%増加する
{0}% reduced Projectile Range,投射物の範囲が{0}%減少する
Projectile Attack Skills have {0}% to Critical Damage Bonus,投射物アタックスキルのクリティカルダメージ倍率 {0}%
Projectiles have {0}% chance to Chain an additional time from terrain,投射物は{0}%の確率で地形から追加で1回連鎖する
{0}% chance for Projectiles to Pierce Enemies within {1}m distance of you,{0}% の確率で投射物があなたから {1}m の距離内の敵を貫通する
Projectiles deal {0}% increased Damage against Heavy Stunned Enemies,投射物は重度スタン中の敵に対して {0}% 増加したダメージを与える
Projectiles deal {0}% reduced Damage against Heavy Stunned Enemies,投射物は重度スタン中の敵に対して {0}% 減少したダメージを与える
{0}% increased Projectile Damage if you've dealt a Melee Hit in the past eight seconds,過去8秒間にプレイヤーが近接ヒットを与えていれば投射物ダメージが{0}%増加する
{0}% reduced Projectile Damage if you've dealt a Melee Hit in the past eight seconds,過去8秒以内に近接ヒットを行った場合、投射物ダメージが {0}% 減少する
Projectiles deal {0}% increased Damage with Hits against Enemies further than {1}m,投射物は {1}m 以上の距離にいる敵に対してヒット時に {0}% 増加したダメージを与える
Projectiles deal {0}% reduced Damage with Hits against Enemies further than {1}m,投射物は {1}m 以上の距離にいる敵に対してヒット時に {0}% 減少したダメージを与える
Projectiles deal {0}% increased Damage with Hits against Enemies within {1}m,投射物は {1}m 以内の敵に対してヒット時に {0}% 増加したダメージを与える
Projectiles deal {0}% reduced Damage with Hits against Enemies within {1}m,投射物は {1}m 以内の敵に対してヒット時に {0}% 減少したダメージを与える
{0}% increased Projectile Damage with Spears while there are no Enemies within {1}m,敵が {1}m 以内にいない場合、槍による投射物ダメージが {0}% 増加する
{0}% reduced Projectile Damage with Spears while there are no Enemies within {1}m,敵が {1}m 以内にいない場合、槍による投射物ダメージが {0}% 減少する
Projectiles deal {0}% increased Damage with Hits for each time they have Chained,投射物は連鎖した回数ごとにヒットダメージが{0}%増加する
Projectiles deal {0}% increased Damage with Hits for each Enemy they've Pierced,投射物は貫通した敵1体につきヒット時に {0}% 増加したダメージを与える
Projectiles deal {0}% increased Damage with Hits to targets they Chain from,投射物は残りの貫通回数ごとにヒットダメージが{0}%増加する
Projectiles deal {0}% reduced Damage with Hits to targets they Chain from,投射物は残りの貫通回数ごとにヒットダメージが{0}%減少する
{0}% increased Projectile Stun Buildup,投射物スタン蓄積が{0}%増加する
{0}% reduced Projectile Stun Buildup,投射物スタン蓄積が{0}%減少する
Projectiles have {0}% chance to Fork if you've dealt a Melee Hit in the past eight seconds,過去8秒間にプレイヤーが近接ヒットを与えていれば投射物は{0}%の確率で分岐する
Projectiles Fork if you've dealt a Melee Hit in the past eight seconds,過去8秒以内に近接ヒットを行った場合、投射物が分岐する
Wave of Conviction's Exposure lowers Total Elemental Resistance by an additional {0}%,ウェーブオブコンヴィクションの曝露は合計元素耐性を追加で{0}%下げる
{0}% increased Daze Buildup with Quarterstaves,四分の一スタッフによるダゼビルドアップが {0}% 増加する
{0}% reduced Daze Buildup with Quarterstaves,四分の一スタッフによるダゼビルドアップが {0}% 減少する
{0}% increased Freeze Buildup with Quarterstaves,クォータースタッフによる凍結蓄積が{0}%増加する
{0}% reduced Freeze Buildup with Quarterstaves,クォータースタッフによる凍結蓄積が{0}%減少する
{0}% increased Stun Buildup with Quarterstaves,クォータースタッフによるスタン蓄積が{0}%増加する
{0}% reduced Stun Buildup with Quarterstaves,クォータースタッフによるスタン蓄積が{0}%減少する
{0}% increased chance to Shock with Quarterstaves,クォータースタッフによる感電付与確率が{0}%増加する
{0}% reduced chance to Shock with Quarterstaves,クォータースタッフによる感電付与確率が{0}%減少する
Quarterstaff Skills that consume Power Charges count as consuming an additional Power Charge,パワーチャージを消費する四分の一スタッフスキルは、追加のパワーチャージを消費したとみなされる
Quarterstaff Skills that consume Power Charges count as consuming {0} additional Power Charges,パワーチャージを消費する四分の一スタッフスキルは、{0} の追加パワーチャージを消費したとみなされる
Rage grants Spell damage instead of Attack damage,憤怒はアタックダメージの代わりにスペルダメージを付与する
{0}% more Magnitude of Non-Damaging Ailments you inflict,あなたが与える非ダメージ性の状態異常の大きさが {0}% 増加する
{0}% less Magnitude of Non-Damaging Ailments you inflict,あなたが与える非ダメージ性の状態異常の大きさが {0}% 減少する
Limit {0} Spearhead stuck in each Target,各ターゲットに刺さった槍先の数を {0} に制限する
Limit {0} Spearheads stuck in each Target,それぞれの対象に刺さった状態でいられるスピアヘッドの上限 {0}
Attacks using your Weapons have Added Physical Damage equal,武器を使用してのアタックは武器の命中力の25%と同量の
to {0}% of the Accuracy Rating on the Weapon,武器の命中率の {0}% にする
{0}% chance on Consuming a Shock on an Enemy to reapply it,敵に感電を消費した際に再適用する確率 {0}%
{0}% chance to be inflicted with Bleeding when Hit,ヒットを受けた時に{0}%の確率で出血を付与される
Gain a Flask Charge when you deal a Critical Hit while affected by Precision,精度の影響を受けている間にクリティカルヒットを与えるとフラスコチャージを獲得する
{0}% of Elemental Damage taken Recouped as Energy Shield,受けた元素ダメージの{0}%をエナジーシールドとして回収する
Recoup {0}% of damage taken by your Totems as Life,トーテムが受けたダメージの{0}%をライフとして回収する
{0}% increased speed of Recoup Effects,回収効果のスピードが{0}%増加する
{0}% reduced speed of Recoup Effects,回収効果のスピードが{0}%減少する
Recover {0}% of maximum Energy Shield over {1} second when you take Physical Damage from an Enemy Hit,敵のヒットから物理ダメージを受けた際に {1} 秒間で最大エナジーシールドの {0}% を回復する
Recover {0}% of maximum Life when you Heavy Stun a Rare or Unique Enemy,レアまたはユニークな敵を重度スタンさせた際に最大ライフの {0}% を回復する
Recover {0}% of maximum Life for each Endurance Charge consumed,消費したエンデュランスチャージ1個ごとにライフの{0}%を回復する
Recover {0}% of maximum Life when you create an Offering,プレイヤーがオファリングを生成した時に最大ライフの{0}%を回復する
Recover {0}% of maximum Mana when you Invoke a Spell,スペルを発動した時にマナの{0}%を回復する
Recover {0}% of maximum Energy Shield when you Kill a Cursed Enemy,呪われた敵を倒した際に最大エナジーシールドの {0}% を回復する
